run_id,simulation_run,model_name,data_design,sample_size,noise_level,train_rows,test_rows,mse,mean_bias,mean_abs_bias,prediction_variance
8aa64282,1,KNN Regression,equidistant,100,0.25,75,25,0.01895038776089525,-0.00046012224132835144,0.12001073788869329,0.0003989290223324096
8aa64282,2,KNN Regression,equidistant,100,0.25,75,25,0.019648070854542087,5.3158362918857206e-05,0.12068424709397423,0.0003989290223324096
8aa64282,3,KNN Regression,equidistant,100,0.25,75,25,0.01971198832441142,-0.0002577827364166376,0.12206969921005978,0.0003989290223324096
8aa64282,4,KNN Regression,equidistant,100,0.25,75,25,0.019926908433215755,-0.0009898909181742562,0.1226332431572832,0.0003989290223324096
8aa64282,5,KNN Regression,equidistant,100,0.25,75,25,0.019349994943007827,0.0009108339564896352,0.12146094874124938,0.0003989290223324096
8aa64282,6,KNN Regression,equidistant,100,0.25,75,25,0.01910319544592271,-0.0010355547397328296,0.12068098080733657,0.0003989290223324096
8aa64282,7,KNN Regression,equidistant,100,0.25,75,25,0.01954774495354224,0.00041348426957409166,0.12093329786653528,0.0003989290223324096
8aa64282,8,KNN Regression,equidistant,100,0.25,75,25,0.019814212376780316,-0.002463013383447101,0.12372000542561466,0.0003989290223324096
8aa64282,9,KNN Regression,equidistant,100,0.25,75,25,0.019576933649726437,-0.0036783368332544294,0.12201123924404107,0.0003989290223324096
8aa64282,10,KNN Regression,equidistant,100,0.25,75,25,0.01872967388773333,0.0003717928261507908,0.11910662991943917,0.0003989290223324096
8aa64282,11,KNN Regression,equidistant,100,0.25,75,25,0.019326341112297626,0.00016897534077213474,0.11987029375531164,0.0003989290223324096
8aa64282,12,KNN Regression,equidistant,100,0.25,75,25,0.019677400269127576,0.002488380453937351,0.12078406035820453,0.0003989290223324096
8aa64282,13,KNN Regression,equidistant,100,0.25,75,25,0.019832420417122503,0.0008607704587999824,0.12165653080778147,0.0003989290223324096
8aa64282,14,KNN Regression,equidistant,100,0.25,75,25,0.01950171383495903,0.0009331459300750603,0.1204976297320486,0.0003989290223324096
8aa64282,15,KNN Regression,equidistant,100,0.25,75,25,0.018598217287661787,0.0006623673420534781,0.11713991324837282,0.0003989290223324096
8aa64282,16,KNN Regression,equidistant,100,0.25,75,25,0.019402052259166146,0.0006699561527344658,0.12090833501481427,0.0003989290223324096
8aa64282,17,KNN Regression,equidistant,100,0.25,75,25,0.019809967906799935,0.0018528173304719444,0.12192717869080268,0.0003989290223324096
8aa64282,18,KNN Regression,equidistant,100,0.25,75,25,0.02028277136232707,-0.0019383290762746415,0.12366745783323696,0.0003989290223324096
8aa64282,19,KNN Regression,equidistant,100,0.25,75,25,0.01920296253754964,-0.00030989347646066784,0.12093063268423969,0.0003989290223324096
8aa64282,20,KNN Regression,equidistant,100,0.25,75,25,0.01914946155082411,0.0008258971037607341,0.11838329620811941,0.0003989290223324096
8aa64282,21,KNN Regression,equidistant,100,0.25,75,25,0.01950508719266714,0.00125297581852409,0.12126433141771865,0.0003989290223324096
8aa64282,22,KNN Regression,equidistant,100,0.25,75,25,0.01939643813973595,-0.0023716062737839084,0.1212693983728348,0.0003989290223324096
8aa64282,23,KNN Regression,equidistant,100,0.25,75,25,0.019759149810475222,-0.00175568179668909,0.12197985568212093,0.0003989290223324096
8aa64282,24,KNN Regression,equidistant,100,0.25,75,25,0.019098495374523763,0.0007984398226470649,0.12010646417717531,0.0003989290223324096
8aa64282,25,KNN Regression,equidistant,100,0.25,75,25,0.019474588312497473,0.0024400023740191006,0.1193484349860926,0.0003989290223324096
8aa64282,26,KNN Regression,equidistant,100,0.25,75,25,0.019841398351900828,2.9920978025295545e-05,0.1220494102584824,0.0003989290223324096
8aa64282,27,KNN Regression,equidistant,100,0.25,75,25,0.01896637998328098,0.004217738655660956,0.11876629724189511,0.0003989290223324096
8aa64282,28,KNN Regression,equidistant,100,0.25,75,25,0.019673752726385125,-0.0008131078913206746,0.12119388707796155,0.0003989290223324096
8aa64282,29,KNN Regression,equidistant,100,0.25,75,25,0.019863615555710853,0.0016422067877464646,0.1215697753261292,0.0003989290223324096
8aa64282,30,KNN Regression,equidistant,100,0.25,75,25,0.01909199353658295,0.0013787582922843752,0.11934977010226713,0.0003989290223324096
8aa64282,31,KNN Regression,equidistant,100,0.25,75,25,0.019389801722383342,-0.0002888538236677774,0.12110916480739072,0.0003989290223324096
8aa64282,32,KNN Regression,equidistant,100,0.25,75,25,0.01944689925215038,-0.00036349584967339433,0.12013421514226985,0.0003989290223324096
8aa64282,33,KNN Regression,equidistant,100,0.25,75,25,0.019230598285171138,0.001886086457557753,0.11946382571469222,0.0003989290223324096
8aa64282,34,KNN Regression,equidistant,100,0.25,75,25,0.019675033860344426,-0.0008424383873398584,0.12225821861704557,0.0003989290223324096
8aa64282,35,KNN Regression,equidistant,100,0.25,75,25,0.019572012660108468,-0.0014527242539706768,0.12225819183087755,0.0003989290223324096
8aa64282,36,KNN Regression,equidistant,100,0.25,75,25,0.019299150046002512,-0.0017461929880030294,0.12013038667964092,0.0003989290223324096
8aa64282,37,KNN Regression,equidistant,100,0.25,75,25,0.01895053154585119,0.0015356817283846786,0.11963428831613783,0.0003989290223324096
8aa64282,38,KNN Regression,equidistant,100,0.25,75,25,0.019381139561650225,0.00011154784398160301,0.12065539510682005,0.0003989290223324096
8aa64282,39,KNN Regression,equidistant,100,0.25,75,25,0.019199837476785074,0.0020733418531838728,0.12002503039540177,0.0003989290223324096
8aa64282,40,KNN Regression,equidistant,100,0.25,75,25,0.019404501031850138,-0.00017187210582010487,0.12013116873364937,0.0003989290223324096
8aa64282,41,KNN Regression,equidistant,100,0.25,75,25,0.019711812240093326,-0.0008646078285610348,0.12094472055305332,0.0003989290223324096
8aa64282,42,KNN Regression,equidistant,100,0.25,75,25,0.019033381385113547,-0.00011324434353662362,0.11947806066351795,0.0003989290223324096
8aa64282,43,KNN Regression,equidistant,100,0.25,75,25,0.01930081721347937,-0.0023126193632980584,0.1208153905864615,0.0003989290223324096
8aa64282,44,KNN Regression,equidistant,100,0.25,75,25,0.019501912608382365,0.0010078443540791127,0.12115255443475112,0.0003989290223324096
8aa64282,45,KNN Regression,equidistant,100,0.25,75,25,0.019465316640381813,-0.0014716571888054443,0.12219806338680644,0.0003989290223324096
8aa64282,46,KNN Regression,equidistant,100,0.25,75,25,0.01952351657863571,-0.00042677452567429017,0.12086148599812122,0.0003989290223324096
8aa64282,47,KNN Regression,equidistant,100,0.25,75,25,0.019302403227473397,9.155757357299889e-05,0.11993408990770324,0.0003989290223324096
8aa64282,48,KNN Regression,equidistant,100,0.25,75,25,0.018917855322701693,-0.0005670754141091215,0.11876154152683695,0.0003989290223324096
8aa64282,49,KNN Regression,equidistant,100,0.25,75,25,0.019609113794307895,0.0009231204121487429,0.12104416184339024,0.0003989290223324096
8aa64282,50,KNN Regression,equidistant,100,0.25,75,25,0.01970902077264289,0.0006123166281611328,0.1219938988580726,0.0003989290223324096
8aa64282,51,KNN Regression,equidistant,100,0.25,75,25,0.019251431629540478,0.0012964697329367588,0.12024182989590383,0.0003989290223324096
8aa64282,52,KNN Regression,equidistant,100,0.25,75,25,0.01945854504291762,-0.0032675490563380295,0.12246871548406714,0.0003989290223324096
8aa64282,53,KNN Regression,equidistant,100,0.25,75,25,0.019491023773951226,0.0008281695093862067,0.12059581628654925,0.0003989290223324096
8aa64282,54,KNN Regression,equidistant,100,0.25,75,25,0.019586723808522447,-3.4537317890066936e-05,0.1215322534571964,0.0003989290223324096
8aa64282,55,KNN Regression,equidistant,100,0.25,75,25,0.01935789772475601,-0.00014740494155810545,0.12051606229023358,0.0003989290223324096
8aa64282,56,KNN Regression,equidistant,100,0.25,75,25,0.01998191341023843,-0.0011708179128265097,0.12143940524001134,0.0003989290223324096
8aa64282,57,KNN Regression,equidistant,100,0.25,75,25,0.01952745583750879,-0.0008117751893452964,0.12142730883836822,0.0003989290223324096
8aa64282,58,KNN Regression,equidistant,100,0.25,75,25,0.01907141738297524,0.001276545252900606,0.12008716789658558,0.0003989290223324096
8aa64282,59,KNN Regression,equidistant,100,0.25,75,25,0.019558234166845788,-0.0018505182804505103,0.1204297771052958,0.0003989290223324096
8aa64282,60,KNN Regression,equidistant,100,0.25,75,25,0.01915720175671054,0.001111354269035067,0.11998919137737658,0.0003989290223324096
8aa64282,61,KNN Regression,equidistant,100,0.25,75,25,0.01924823387795435,-0.0014657292356642247,0.12068352652495304,0.0003989290223324096
8aa64282,62,KNN Regression,equidistant,100,0.25,75,25,0.019189901183250358,0.0017276803106851238,0.1196920932207595,0.0003989290223324096
8aa64282,63,KNN Regression,equidistant,100,0.25,75,25,0.019438378009344837,0.0023139412082489198,0.12049124631459163,0.0003989290223324096
8aa64282,64,KNN Regression,equidistant,100,0.25,75,25,0.01914577192184975,0.0008063818444930573,0.11929991113269793,0.0003989290223324096
8aa64282,65,KNN Regression,equidistant,100,0.25,75,25,0.019860634232897956,-0.0014760470886363275,0.12280759261163925,0.0003989290223324096
8aa64282,66,KNN Regression,equidistant,100,0.25,75,25,0.018693346321938604,0.0007870531125956038,0.11888217003819644,0.0003989290223324096
