Date,Hours,Notes
2026-01-14,6.5,
2026-01-15,6,
2026-01-16,4.5,
2026-01-17,1.5,
2026-01-18,1,
2026-01-19,4.5,
2026-01-20,6.5,
2026-01-21,5,
2026-01-22,0,
2026-01-23,5,
2026-01-24,2,
2026-01-27,2,
2026-01-28,5,
2026-01-29,1,
2026-01-30,1,
2026-01-31,3.5,
2026-02-01,6.5,
2026-02-02,6,
2026-02-03,6,
2026-02-04,6.5,
2026-02-05,6,
2026-02-06,6,
2026-02-07,0,
2026-02-08,0,
2026-02-09,0.5,
2026-02-10,6,
2026-02-11,1,
2026-02-12,0,
2026-02-13,0,
2026-02-14,0,
2026-02-15,0.5,
2026-02-16,0,
2026-02-17,6,
2026-02-18,6,
2026-02-19,2,
2026-02-20,0,
2026-02-21,0,
2026-02-22,0,
2026-02-23,5,
2026-02-24,2,
2026-02-25,3,
2026-02-26,4,
2026-02-27,0,
2026-02-28,0,
2026-03-01,0,
2026-03-02,6,
2026-03-03,6,
2026-03-04,6,
2026-03-05,5,
2026-03-06,4,
2026-03-07,2.5,
2026-03-08,3,
2026-03-09,4,
2026-03-10,4,
2026-03-11,3,
2026-03-12,3.5,
2026-03-13,4.5,
2026-03-14,0,
2026-03-15,0,
2026-03-16,3.5,
2026-03-17,6,
2026-03-18,2,
2026-03-19,3.5,
2026-03-20,5,
2026-03-21,3,
2026-03-22,1,
2026-03-23,4,
2026-03-24,2,
2026-03-25,0,
2026-03-26,0,
2026-03-27,2.5,
2026-03-28,6,
2026-03-29,4.5,
2026-03-30,2,
2026-03-31,3,
2026-04-01,0,
2026-04-02,0,
2026-04-03,0,
2026-04-04,0,
2026-04-05,0,
2026-04-06,1.5,
2026-04-07,3,
2026-04-08,3.5,
2026-04-09,6,
2026-04-10,3,
2026-04-11,2,
2026-04-12,3,
2026-04-13,6,
2026-04-14,4,
2026-04-15,2,
2026-04-16,2.0,
2026-04-17,3.0,
2026-04-18,3.0,
